book,exxon,ge,gold,ibm,wmart,msoft,riskfree,size,sp500,tbill,dates
-3.7,34.64,30.51,313.2913,69.19,48.37,23.71,0.0014,-5.18,911.62,0.0168,2002m7
2.11,33.62,28.57,310.25476,74.24,52.6,24.25,0.00135,-2.16,916.07,0.0162,2002m8
1.13,30.26,23.52,319.13571,57.43,48.5,21.61,0.00135833,2.73,815.29,0.0163,2002m9
-6.5,31.93,24.1,316.55652,77.75,52.75,26.42,0.00131667,-3.02,885.77,0.0158,2002m10
-1.53,33.22,25.88,319.06667,85.77,53.09,28.5,0.001025,3.18,936.31,0.0123,2002m11
3.86,33.36,23.41,332.60789,76.47,49.82,25.55,0.00099167,-0.53,879.82,0.0119,2002m12
-0.86,32.6,22.25,356.85909,77.16,47.15,23.45,0.000975,1.37,855.7,0.0117,2003m1
-1.51,32.7,23.31,358.97,77.07,47.41,23.5,0.000975,-0.37,841.15,0.0117,2003m2
-1.76,33.59,24.71,340.55,77.54,51.41,24,0.00094167,0.89,848.18,0.0113,2003m3
-0.09,33.83,28.54,328.18,83.94,55.65,25.35,0.00094167,1.22,916.92,0.0113,2003m4
0.28,35.24,27.82,355.6825,87.2,51.99,24.4,0.00089167,4.71,963.59,0.0107,2003m5
0.59,34.76,27.98,356.35,81.71,53.12,25.42,0.00076667,1.5,974.51,0.0092,2003m6
-2.14,34.44,27.74,350.98696,80.48,55.34,26.19,0.00075,5.63,990.31,0.009,2003m7
1.75,36.75,28.85,359.7675,81.39,58.56,26.29,0.00079167,2.64,1008.01,0.0095,2003m8
0.97,35.68,29.26,378.94545,87.66,55.28,27.56,0.00078333,0.56,995.97,0.0094,2003m9
1.76,35.66,28.47,378.91957,88.81,58.44,26.06,0.00076667,2.91,1050.71,0.0092,2003m10
1.38,35.53,28.14,389.91,90.02,55.16,25.63,0.000775,2.22,1058.2,0.0093,2003m11
2.8,40.24,30.61,407.62619,92.15,52.68,27.29,0.00075,-2.85,1111.92,0.009,2003m12
1.62,40.04,33.23,413.7881,98.66,53.48,27.57,0.00073333,2.61,1131.13,0.0088,2004m1
0.41,41.65,32.33,404.9475,96.1,59.15,26.45,0.000775,-1.19,1144.94,0.0093,2004m2
0.03,41.08,30.34,406.66739,91.46,59.41,24.86,0.00078333,1.86,1126.21,0.0094,2004m3
-1.7,42.02,29.77,403.26,87.81,56.73,26.05,0.00078333,-2.51,1107.3,0.0094,2004m4
-0.29,42.99,30.93,383.77895,88.4,55.6,26.15,0.00085,-0.13,1120.68,0.0102,2004m5
1.73,44.15,32.4,392.37273,87.96,52.38,28.48,0.00105833,2.26,1140.84,0.0127,2004m6
4.39,46.02,33.25,398.09091,86.89,52.88,28.41,0.00110833,-3.82,1101.72,0.0133,2004m7
